"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-01","10.07"," 1534"," 1533","0.04",,"0.0","0.0","46","58","34",,"  200","  190","0.0","21.0","28.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-02","10.07"," 1329"," 1341","0.13",,"0.0","0.0","56","66","45",,"  320","  310","0.0","23.9","32.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-03","9.17"," 0923"," 0907","0.00",,"0.0","0.0","52","62","41",,"  140","  120","0.0","16.1","23.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-04","12.08"," 1536"," 1535","0.00",,,,"57","63","50",,"  190","  190","0.0","21.0","23.9",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-05","7.38"," 2000"," 2000","0.00",,"0.0","0.0","69","84","53",,"   20","   10","0.0","17.9","23.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-06","5.82"," 1658"," 1401","0.00",,"0.0","0.0","72","85","58",,"  190","  180","0.0","14.1","17.0","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-07","6.93"," 1631"," 2150","0.02",,"0.0","0.0","72","88","55",,"  230","  300","0.0","17.9","23.0","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-08","6.26"," 1702"," 1702","0.01",,"0.0","0.0","75","86","64",,"  220","  210","0.0","16.1","17.9","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-09","10.74"," 1419"," 1348","0.00",,"0.0","0.0","73","83","63",,"  230","  220","0.0","23.0","29.1","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-10","12.75"," 1857"," 1227","0.22",,"0.0","0.0","60","70","49",,"  310","   80","0.0","23.0","30.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-11","8.28"," 1306"," 1305","0.00",,"0.0","0.0","62","73","50",,"  310","  320","0.0","23.0","29.1","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-12","6.71"," 1235"," 1335","0.09",,"0.0","0.0","60","66","53",,"  140","  120","0.0","17.0","21.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-13","7.16"," 2108"," 2107","0.25",,"0.0","0.0","63","71","54",,"  260","  270","0.0","25.1","30.0","    1","    1","    1",,,,,,,"    1","    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-14","8.28"," 1234"," 1515","0.00",,"0.0","0.0","62","72","51",,"  300","  240","0.0","17.9","23.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-15","8.05"," 0003"," 0009","0.00",,"0.0","0.0","54","63","45",,"  360","  360","0.0","23.0","25.1",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-16","7.61"," 1643"," 1643","0.00",,"0.0","0.0","53","66","39",,"  210","  200","0.0","17.9","21.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-17","8.05"," 1423"," 1803","0.00",,"0.0","0.0","61","68","53",,"  190","  190","0.0","17.0","19.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-18","16.11"," 1411"," 1457","0.50",,"0.0","0.0","63","68","58",,"  220","  220","0.0","32.0","46.1","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-19","10.74"," 1026"," 1318","0.44",,"0.0","0.0","54","62","46",,"   90","   50","0.0","23.0","28.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-20","7.38"," 0348"," 0346","0.24",,"0.0","0.0","48","51","45",,"   50","   60","0.0","13.0","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-21","3.80"," 1439"," 1446","0.07",,"0.0","0.0","52","54","49",,"  140","  130","0.0","8.9","10.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-22","6.71"," 0943"," 0945","0.17",,"0.0","0.0","54","57","50",,"  150","  140","0.0","16.1","17.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-23","8.05"," 2107"," 2102","0.04",,"0.0","0.0","56","61","50",,"  170","  150","0.0","16.1","21.0","    1","    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-24","9.40"," 0222"," 0221","0.65",,"0.0","0.0","65","76","54",,"  130","  140","0.0","19.9","23.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-25","8.50"," 1312"," 1244","0.08",,"0.0","0.0","67","76","57",,"  320","  300","0.0","21.9","28.0","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-26","10.07"," 0924"," 0748","0.00",,"0.0","0.0","65","74","55",,"  280","  310","0.0","19.9","25.1",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-27","6.93"," 1527"," 1526","0.00",,"0.0","0.0","59","70","47",,"  260","  260","0.0","17.9","21.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-28","7.61"," 0214"," 0207","0.00",,"0.0","0.0","60","67","53",,"  360","  360","0.0","16.1","21.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-29","10.96"," 1038"," 1116","0.00",,"0.0","0.0","57","64","49",,"   50","   60","0.0","21.9","25.1",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-30","9.17"," 1202"," 1102","0.00",,"0.0","0.0","54","62","46",,"   60","   40","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-05-31","5.82"," 1311"," 1601","0.00",,"0.0","0.0","58","66","50",,"  220","  150","0.0","10.1","13.0","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","2000-06-01","6.93"," 1635"," 1637","0.00",,"0.0","0.0","70","86","53",,"  210","  210","0.0","14.1","15.0","    1",,,,,,,,,,"    1",,,,,,,,,
